一山如畫對清江 門裏團圓事事雙 誰料半途分折去 空幃無語對銀缸
一生心事向誰論 十八灘頭說與君 世事盡從流水去 功名富貴等浮雲
一舟行貨好招邀 積少成多自富饒 常把他人比自己 管須日後勝今朝
一見佳人便喜歡 誰知去後有多般 人情冷暖君休訝 歷涉應知行路難
一春風雨正瀟瀟 千里行人去路遙 移寡就多君得 計如何歸路轉無聊
一春萬事苦憂煎 夏裏營求始帖然 更遇秋成冬至後 恰如騎鶴與腰纏
一春萬事苦憂煎 夏裏營求始帖然 更遇秋成冬至後 恰如騎鶴與腰纏
一紙官書火急催 扁舟速下浪如雷 雖然目下多驚險 保汝平安去復回
一般器用與人同 巧斲輪輿梓匠工 凡事有緣且隨分 秋冬方遇主人翁
一朝無事忽遭官 也是門衰墳未安 改換陰陽移禍福 勸君莫作等閒看
人說今年勝舊年 也須步多要周旋 一家和氣多生福 萋菲讒言莫聽偏
三千法律八千文 此事何如說與君 善惡兩途君自作 一生禍福此中分
兀坐幽居歎寂寥 孤燈掩映度清宵 萬金忽報秋光好 活計扁舟渡北朝
子有三般不自由 門庭蕭索冷如秋 若逢牛鼠交承日 萬事回春不用憂
不分南北與西東 眼底昏昏耳似聾 熟讀黃庭經一卷 不論貴賤與窮通
五十功名心已灰 那知富貴逼人來 更行好事存方寸 壽比岡陵位鼎台
今年禾穀不如前 物價喧騰倍百年 災數流行多疫癘 一陽復後始安全
今年好事一番新 富貴榮華萃汝身 誰道機關難料處 到頭獨立轉傷神
公侯將相本無種 好把勤勞契上天 人事盡從天理見 才高豈得困林泉
公侯將相本無種 好把勤勞契上天 人事盡從天理見 才高豈得困林泉
心頭理曲強詞遮 直欲欺官行路斜 一旦醜形臨月鏡 身投憲網莫咨嗟
木有根荄水有源 君當自此究其原 莫隨道路人閒話 訟到終凶是至言
世間萬物各有主 一粒一毫君莫取 英雄豪傑自天生 也須步步循規矩
仙風道骨本天生 又遇仙宗為主盟 指日丹成謝巖谷 一朝引領向天行
兄弟好名聲 只管謙撝莫自矜 丹詔槐黃相逼近 巍巍科甲兩同登
功名富貴自能為 偶著仙鞭莫問伊 萬里鵬程君有分 吳山頂上好鑽龜
北山門外好安居 若問終時慎厥初 堪笑包藏許多事 鱗鴻雖便莫修書
去年百事頗相宜 若較今年時運衰 好把瓣香告神佛 莫教福謝悔無追
生前結得好緣姻 一笑相逢情自親 相當人物無高下 得意休論富與貧
田園價貫好商量 事到公庭彼此傷 縱使機關圖得勝 定為後世子孫殃
吉人相遇本和同 況有持謀天水翁 人力不勞公論協 事成功倍笑談中
好將心地力耕耘 彼此山頭總是墳 陰地不如心地好 修為到底卻輸君
年來耕稼苦無收 今歲田疇定有秋 況遇太平無事日 士農工賈百無憂
年來豐歉皆天數 自是今年旱較多 與子定期三日內 田疇霑足雨滂沱
汝是人中最吉人 誤為誤作損精神 堅牢一念酬香願 富貴榮華萃汝身
百千人面虎狼心 賴汝干戈用力深 得勝回時秋漸老 虎頭城裏喜相尋
自南自北自東西 欲到天涯誰作梯 遇鼠逢牛三弄笛 好將名姓榜頭題
佛說淘沙始見金 只緣君子不勞心 榮華總得詩書效 妙裏工夫仔細尋
君今百事且隨緣 水到渠成聽自然 莫嘆年來不如意 喜逢新運稱心田
君今庚甲未亨通 且向江頭作釣翁 玉兔重生應發跡 萬人頭上逞英雄
